nms_sigma,pre_nms_topk,max_seg_num,mAP_all,mAP_overlap,mAP_non_overlap,overlap_ratio,time_s
0.7,3000,3000,0.6903241130941397,0.20728256682236185,0.43808559257182544,0.14949374627754616,84.6589732170105
0.7,3000,4000,0.6903361475116405,0.20728194244882828,0.43809698575522865,0.14949374627754616,98.05029034614563
0.7,3000,5000,0.6903418743155323,0.20728307639110777,0.4381020355373712,0.14949374627754616,111.46673130989075
0.7,4000,2000,0.6902973907665777,0.2072759166819788,0.4380723258746859,0.14949374627754616,71.5325379371643
0.7,4000,3000,0.6903283416160715,0.20728835716049873,0.4380862015591814,0.14949374627754616,86.10340189933777
0.7,4000,4000,0.6903311196618056,0.20728555559475031,0.43809050544192935,0.14949374627754616,100.87755608558655
0.7,4000,5000,0.690337766033503,0.20728524442912938,0.43809939183166213,0.14949374627754616,111.71119856834412
0.7,5000,2000,0.69029739259533,0.20727591865386294,0.43807232656692807,0.14949374627754616,72.75763702392578
0.7,5000,3000,0.6903257378380381,0.20728835303773874,0.4380862112005765,0.14949374627754616,88.03365683555603
0.7,5000,4000,0.6903293414811873,0.20728537880342426,0.43809084071307225,0.14949374627754616,102.10101985931396
0.7,5000,5000,0.6903341666188787,0.20728393106262483,0.43809789311193326,0.14949374627754616,113.9649670124054
0.7,6000,2000,0.6902973927358247,0.20727591865386294,0.4380723264118524,0.14949374627754616,74.54744458198547
0.7,6000,3000,0.6903255085306795,0.2072852440388126,0.43808596991590354,0.14949374627754616,90.3051507472992
0.7,6000,4000,0.6903274442013934,0.20728367600123349,0.43809006886894875,0.14949374627754616,102.5214774608612
0.7,6000,5000,0.6903339386960644,0.20728234310710314,0.4380966643739489,0.14949374627754616,114.99659943580627
